Marital status,Application mode,Course,Previous qualification,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st year (enrolled),Curricular units 1st year (approved),Curricular units 2nd year (enrolled),Curricular units 2nd year (approved),Curricular units 3rd year (enrolled),Curricular units 3rd year (approved),Curricular units 4th year (enrolled),Curricular units 4th year (approved),Target
1,8,12,1,1,0,1,1,0,19,7,6,7,6,7,6,7,6,Enrolled
1,15,4,14,0,0,1,1,0,21,6,5,6,5,6,5,6,5,Enrolled
1,16,5,1,1,0,1,1,0,20,6,6,6,4,6,6,6,4,Graduate
1,1,9,1,0,0,0,1,0,18,5,3,5,2,5,3,5,2,Enrolled
1,9,3,1,1,0,1,0,0,19,6,6,6,6,6,6,6,6,Graduate
1,1,17,1,0,0,1,1,0,34,5,5,5,5,5,5,5,5,Graduate
1,12,1,1,0,1,0,1,0,37,7,0,7,1,7,0,7,1,Dropout
1,12,7,8,1,0,1,1,0,43,5,0,5,0,5,0,5,0,Dropout
1,14,9,1,0,0,1,0,0,55,5,1,5,2,5,1,5,2,Dropout
4,12,17,1,1,0,1,0,0,39,5,5,5,5,5,5,5,5,Graduate
1,15,8,14,0,1,0,0,0,20,6,3,6,3,6,3,6,3,Dropout
1,1,15,1,0,1,1,0,0,18,6,4,5,0,6,4,5,0,Dropout
1,1,9,1,1,0,1,0,0,22,5,5,5,5,5,5,5,5,Graduate
1,1,12,1,1,0,1,0,0,22,7,5,8,7,7,5,8,7,Graduate
1,8,15,1,0,0,0,0,0,20,6,4,6,5,6,4,6,5,Dropout
1,12,17,1,0,0,1,0,0,29,5,0,5,0,5,0,5,0,Dropout
1,8,17,1,0,0,1,0,0,24,5,2,5,3,5,2,5,3,Enrolled
1,8,10,1,1,0,1,0,0,18,6,6,6,5,6,6,6,5,Graduate
1,8,12,1,1,0,1,0,1,22,7,6,8,7,7,6,8,7,Graduate
1,15,3,14,0,0,1,0,1,21,6,6,6,6,6,6,6,6,Graduate
1,1,10,1,0,0,1,0,1,19,6,5,6,6,6,5,6,6,Graduate
1,12,11,1,0,0,1,0,1,24,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,1,0,1,0,1,19,8,6,8,6,8,6,8,6,Enrolled
1,1,15,1,1,0,1,0,1,20,6,4,6,3,6,4,6,3,Enrolled
1,1,8,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,12,17,1,0,0,1,0,0,27,5,5,5,5,5,5,5,5,Dropout
1,1,12,1,1,0,1,0,0,18,7,7,8,8,7,7,8,8,Graduate
2,4,11,3,0,0,1,0,0,39,6,0,6,0,6,0,6,0,Dropout
1,12,8,15,1,0,1,0,0,27,6,5,11,10,6,5,11,10,Dropout
1,8,12,1,1,0,1,0,0,18,8,8,8,8,8,8,8,8,Graduate
1,1,2,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,Enrolled
1,1,12,1,0,0,1,0,0,18,7,6,8,7,7,6,8,7,Graduate
1,15,10,14,0,0,1,0,1,21,6,6,6,6,6,6,6,6,Graduate
1,8,2,1,1,0,1,1,1,19,0,0,0,0,0,0,0,0,Enrolled
1,8,5,1,1,0,1,1,0,19,6,5,6,1,6,5,6,1,Enrolled
1,14,5,1,0,0,1,1,0,24,6,0,6,0,6,0,6,0,Enrolled
4,13,12,12,1,0,1,1,0,29,7,5,8,5,7,5,8,5,Dropout
1,1,2,1,1,0,1,1,1,19,0,0,0,0,0,0,0,0,Graduate
1,15,4,14,1,0,1,1,0,23,6,6,6,6,6,6,6,6,Graduate
1,1,9,1,0,1,1,1,0,19,5,5,5,4,5,5,5,4,Dropout
1,12,11,1,0,0,1,1,0,26,6,6,6,5,6,6,6,5,Enrolled
1,8,9,1,0,0,1,1,0,18,5,0,5,0,5,0,5,0,Enrolled
1,8,12,1,0,0,1,1,0,24,7,7,8,8,7,7,8,8,Graduate
1,1,2,1,1,0,1,1,0,19,0,0,0,0,0,0,0,0,Dropout
1,8,11,1,1,0,1,1,0,18,6,3,6,1,6,3,6,1,Dropout
1,1,15,1,1,0,1,1,0,18,6,6,6,3,6,6,6,3,Graduate
1,8,9,1,1,1,1,1,0,18,5,3,5,3,5,3,5,3,Dropout
1,9,11,1,1,0,1,1,1,21,6,4,6,1,6,4,6,1,Dropout
1,8,15,1,1,1,1,1,1,19,6,6,6,6,6,6,6,6,Graduate
1,8,12,1,0,0,1,1,1,22,7,7,8,8,7,7,8,8,Graduate
2,12,3,1,0,0,1,1,0,33,6,6,6,6,6,6,6,6,Graduate
1,1,16,1,1,0,1,1,0,20,6,5,6,5,6,5,6,5,Dropout
1,12,17,2,1,0,1,1,0,35,1,0,5,0,1,0,5,0,Dropout
1,12,4,4,0,1,1,1,0,24,12,6,12,10,12,6,12,10,Dropout
1,8,11,1,0,0,1,1,0,18,5,5,5,3,5,5,5,3,Enrolled
2,12,3,1,1,0,1,0,0,33,6,6,6,5,6,6,6,5,Graduate
1,13,12,1,1,0,1,0,1,22,8,7,8,7,8,7,8,7,Graduate
1,12,14,1,0,0,1,0,1,25,5,4,5,5,5,4,5,5,Graduate
1,8,5,1,1,0,1,1,0,20,6,6,6,5,6,6,6,5,Graduate
1,1,9,1,1,0,1,1,0,23,5,4,5,5,5,4,5,5,Enrolled
1,14,7,1,1,1,1,1,0,18,5,2,5,0,5,2,5,0,Enrolled
1,12,12,1,0,0,1,1,0,24,7,0,7,0,7,0,7,0,Dropout
1,8,15,1,1,0,0,0,0,21,6,6,6,6,6,6,6,6,Graduate
1,6,8,1,0,0,1,0,0,26,6,2,6,0,6,2,6,0,Dropout
2,12,16,8,0,0,1,0,0,39,6,3,6,0,6,3,6,0,Dropout
2,12,3,1,0,0,1,0,0,44,8,8,6,6,8,8,6,6,Graduate
1,6,7,1,1,0,1,1,0,19,5,5,5,3,5,5,5,3,Enrolled
1,1,15,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,1,0,1,0,1,18,7,7,8,8,7,7,8,8,Graduate
1,1,6,1,1,0,1,0,0,19,5,5,5,5,5,5,5,5,Enrolled
1,1,12,1,1,1,0,0,0,19,7,4,7,0,7,4,7,0,Dropout
1,17,6,16,0,0,1,0,0,21,10,8,9,5,10,8,9,5,Dropout
1,1,2,1,1,0,1,0,0,20,0,0,0,0,0,0,0,0,Graduate
2,12,3,1,1,0,1,0,0,36,6,0,6,0,6,0,6,0,Dropout
4,12,4,9,0,0,1,0,0,43,18,18,13,13,18,18,13,13,Graduate
1,9,16,1,1,0,1,0,0,19,6,0,6,0,6,0,6,0,Dropout
1,16,5,1,0,1,1,0,0,20,10,10,11,11,10,10,11,11,Graduate
1,1,10,1,1,0,1,0,0,19,6,0,6,0,6,0,6,0,Dropout
1,1,6,1,1,0,1,0,0,20,6,4,6,4,6,4,6,4,Dropout
1,1,12,1,1,0,1,0,0,20,7,6,7,5,7,6,7,5,Dropout
1,8,16,1,1,0,1,0,0,20,7,6,7,3,7,6,7,3,Enrolled
1,1,10,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,8,9,1,1,0,1,0,1,18,5,3,5,3,5,3,5,3,Enrolled
1,1,6,1,1,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,1,15,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,8,12,1,1,0,1,0,0,18,7,6,7,6,7,6,7,6,Dropout
1,14,12,1,0,0,1,0,0,20,7,6,7,7,7,6,7,7,Enrolled
1,8,10,1,1,0,1,0,1,20,6,2,6,4,6,2,6,4,Enrolled
1,8,9,1,0,0,1,0,0,20,5,3,5,3,5,3,5,3,Enrolled
1,1,6,1,0,0,1,0,0,18,5,5,5,5,5,5,5,5,Graduate
1,1,9,1,0,0,1,0,0,18,5,5,5,5,5,5,5,5,Graduate
1,8,11,1,1,0,1,0,0,21,6,3,6,2,6,3,6,2,Dropout
1,1,9,1,1,0,1,0,0,19,5,5,5,4,5,5,5,4,Graduate
1,1,2,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,Dropout
1,1,14,1,0,0,1,0,1,19,5,5,5,5,5,5,5,5,Graduate
1,1,6,1,1,0,1,0,0,19,6,6,6,6,6,6,6,6,Graduate
1,8,13,1,1,0,1,0,0,19,7,5,7,0,7,5,7,0,Dropout
1,15,6,14,1,0,1,0,0,20,6,6,6,5,6,6,6,5,Graduate
1,1,16,1,1,0,1,0,1,18,6,5,6,5,6,5,6,5,Enrolled
1,8,10,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,8,12,1,1,0,1,0,0,19,7,7,8,8,7,7,8,8,Graduate
1,1,12,1,1,0,1,0,1,18,7,7,8,7,7,7,8,7,Dropout
1,8,5,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,1,9,1,1,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,8,12,1,1,0,1,0,0,19,7,5,7,0,7,5,7,0,Dropout
1,14,10,1,0,0,1,0,0,20,9,9,7,7,9,9,7,7,Graduate
1,1,14,1,0,1,0,0,1,19,6,5,6,4,6,5,6,4,Dropout
1,8,14,1,1,0,1,0,0,20,5,4,5,4,5,4,5,4,Graduate
1,1,15,1,0,1,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,0,0,1,0,1,20,7,5,8,7,7,5,8,7,Enrolled
1,9,12,1,0,0,1,0,0,18,7,7,8,8,7,7,8,8,Graduate
1,1,12,1,1,0,1,0,0,19,7,6,7,6,7,6,7,6,Graduate
1,1,15,1,1,0,1,0,1,19,6,6,6,5,6,6,6,5,Graduate
1,16,9,1,1,1,0,0,0,22,5,0,5,0,5,0,5,0,Enrolled
1,1,10,1,1,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,1,0,1,0,1,19,7,7,8,8,7,7,8,8,Graduate
1,8,16,1,1,0,1,0,1,19,6,5,6,5,6,5,6,5,Graduate
1,1,11,1,1,0,1,0,0,19,5,0,5,0,5,0,5,0,Dropout
1,8,11,1,1,0,1,0,0,20,6,5,6,3,6,5,6,3,Dropout
1,1,9,1,0,0,1,0,0,18,5,5,5,5,5,5,5,5,Graduate
1,1,12,1,0,0,1,0,1,20,7,6,8,7,7,6,8,7,Graduate
1,1,2,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,Enrolled
1,1,6,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,8,16,1,1,0,1,0,0,18,6,3,6,5,6,3,6,5,Enrolled
1,1,16,1,1,0,1,0,0,18,6,6,6,5,6,6,6,5,Graduate
1,14,16,1,1,0,1,0,0,21,6,3,6,3,6,3,6,3,Dropout
1,1,16,1,0,0,1,0,0,19,6,6,6,4,6,6,6,4,Dropout
1,1,9,1,0,0,1,0,1,18,5,5,5,5,5,5,5,5,Graduate
1,8,10,1,1,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,10,1,1,0,1,0,0,20,6,4,6,6,6,4,6,6,Graduate
1,12,3,1,0,0,1,0,1,24,6,5,6,5,6,5,6,5,Graduate
1,1,14,1,0,0,1,0,0,19,6,6,6,6,6,6,6,6,Dropout
1,1,12,1,1,0,1,0,1,18,7,7,8,7,7,7,8,7,Graduate
1,1,12,1,1,0,1,0,0,18,7,7,8,8,7,7,8,8,Graduate
1,8,16,1,1,0,1,0,0,21,6,4,6,3,6,4,6,3,Dropout
1,8,14,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,8,15,1,0,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
3,12,4,1,0,1,1,0,0,47,1,0,6,0,1,0,6,0,Enrolled
1,8,10,1,0,0,1,0,0,19,6,5,6,4,6,5,6,4,Graduate
1,12,12,3,0,0,1,0,0,29,8,7,8,7,8,7,8,7,Graduate
1,14,10,1,1,0,1,0,0,21,6,3,6,2,6,3,6,2,Dropout
1,12,6,1,1,0,1,0,0,28,5,4,5,4,5,4,5,4,Enrolled
1,8,13,1,0,0,1,0,0,20,7,7,8,8,7,7,8,8,Graduate
1,8,12,1,1,0,1,0,0,19,7,6,7,6,7,6,7,6,Graduate
1,13,3,1,0,0,1,0,0,26,6,3,6,5,6,3,6,5,Graduate
1,8,11,1,1,1,0,0,0,20,6,4,6,6,6,4,6,6,Dropout
1,1,14,1,1,0,1,0,1,18,5,3,5,4,5,3,5,4,Enrolled
1,12,16,1,0,0,1,0,0,27,6,5,6,5,6,5,6,5,Graduate
1,1,12,1,1,0,1,0,0,20,7,4,7,4,7,4,7,4,Dropout
1,1,16,1,1,0,1,0,0,18,6,5,6,5,6,5,6,5,Dropout
1,4,12,3,0,0,1,0,0,33,7,6,8,6,7,6,8,6,Dropout
1,14,16,1,1,0,1,0,0,35,21,21,19,19,21,21,19,19,Graduate
1,15,17,14,0,0,1,0,1,26,6,6,6,6,6,6,6,6,Enrolled
1,12,15,12,0,1,0,0,0,27,6,5,6,0,6,5,6,0,Dropout
1,9,5,1,1,0,0,0,0,19,6,6,6,0,6,6,6,0,Dropout
1,8,11,1,0,0,1,0,0,20,6,0,6,0,6,0,6,0,Dropout
1,9,9,1,1,1,0,0,0,20,5,3,5,3,5,3,5,3,Dropout
1,14,10,1,0,1,0,0,0,21,10,8,6,4,10,8,6,4,Enrolled
1,8,12,1,1,0,1,0,1,18,7,6,7,6,7,6,7,6,Graduate
1,12,6,1,1,0,1,0,0,24,6,2,6,0,6,2,6,0,Dropout
1,8,5,1,1,0,1,0,0,20,6,6,6,6,6,6,6,6,Graduate
1,1,11,1,0,0,1,0,1,21,6,6,6,6,6,6,6,6,Graduate
1,1,3,1,0,0,1,0,0,23,6,2,5,1,6,2,5,1,Enrolled
1,12,9,1,1,0,1,0,0,24,5,0,5,0,5,0,5,0,Dropout
1,16,16,1,0,0,1,0,0,21,6,0,6,0,6,0,6,0,Dropout
1,1,12,1,1,0,1,0,0,18,8,7,8,7,8,7,8,7,Graduate
1,12,17,15,1,0,1,0,0,27,5,0,5,0,5,0,5,0,Dropout
1,9,12,1,1,0,1,0,0,18,8,8,8,8,8,8,8,8,Graduate
1,4,7,3,0,0,1,0,0,35,5,0,5,0,5,0,5,0,Dropout
1,1,16,1,0,0,1,0,0,18,7,7,7,7,7,7,7,7,Graduate
1,12,12,1,0,0,1,0,0,35,3,3,3,3,3,3,3,3,Enrolled
1,1,6,1,1,0,1,0,0,19,5,4,5,4,5,4,5,4,Graduate
1,1,10,1,1,0,1,0,0,20,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,1,0,1,0,0,18,8,7,8,7,8,7,8,7,Graduate
1,15,10,14,0,1,1,0,0,21,6,6,6,6,6,6,6,6,Graduate
1,8,10,1,0,0,1,0,1,18,6,5,6,4,6,5,6,4,Graduate
1,1,10,1,1,0,1,0,0,18,6,4,6,4,6,4,6,4,Graduate
1,1,12,1,1,0,1,0,0,18,8,7,8,7,8,7,8,7,Graduate
1,1,15,1,1,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,6,1,1,0,1,0,0,19,6,6,6,5,6,6,6,5,Graduate
1,12,11,12,0,0,1,0,1,36,6,6,6,5,6,6,6,5,Dropout
1,1,12,1,1,0,1,0,1,18,8,7,8,7,8,7,8,7,Graduate
1,1,12,1,0,0,1,0,1,18,7,6,7,6,7,6,7,6,Graduate
1,14,8,1,1,0,1,0,1,20,6,6,6,6,6,6,6,6,Graduate
1,12,17,1,0,0,1,0,1,26,5,0,5,0,5,0,5,0,Dropout
1,14,15,1,0,0,1,0,0,21,6,6,6,6,6,6,6,6,Graduate
1,12,13,15,0,0,1,0,0,25,7,6,8,8,7,6,8,8,Enrolled
1,9,9,1,1,0,1,0,1,19,5,5,5,5,5,5,5,5,Graduate
1,12,3,1,1,0,1,0,0,24,6,1,6,0,6,1,6,0,Dropout
1,12,3,1,0,0,1,0,1,27,6,1,6,0,6,1,6,0,Dropout
1,8,6,1,0,0,1,0,0,21,5,0,5,2,5,0,5,2,Dropout
1,1,9,1,0,0,1,0,1,18,5,4,5,3,5,4,5,3,Graduate
2,1,16,1,0,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,1,11,1,1,0,1,0,0,18,6,4,6,2,6,4,6,2,Dropout
1,16,12,1,0,0,1,0,1,19,7,5,8,7,7,5,8,7,Graduate
1,9,12,1,1,0,1,0,1,19,7,6,8,7,7,6,8,7,Graduate
2,4,17,17,0,0,1,0,0,33,6,6,5,5,6,6,5,5,Graduate
2,4,9,3,0,0,1,0,0,45,5,5,5,5,5,5,5,5,Graduate
1,1,10,1,0,0,1,0,1,20,6,6,6,6,6,6,6,6,Graduate
1,12,14,1,1,0,1,0,0,28,5,0,5,0,5,0,5,0,Dropout
1,14,12,1,1,0,1,0,1,19,8,7,8,7,8,7,8,7,Graduate
1,1,11,1,1,0,1,0,0,18,6,6,6,3,6,6,6,3,Graduate
1,12,11,3,0,0,1,0,0,38,6,0,6,0,6,0,6,0,Dropout
1,1,14,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,1,11,1,0,0,1,0,1,21,6,5,6,5,6,5,6,5,Graduate
1,1,9,1,0,0,1,0,0,21,5,3,5,1,5,3,5,1,Dropout
1,1,10,1,0,0,1,0,1,22,6,5,6,6,6,5,6,6,Graduate
1,1,16,1,0,0,1,0,1,18,6,5,6,6,6,5,6,6,Graduate
1,8,10,1,0,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,8,1,1,0,0,0,0,25,5,4,5,4,5,4,5,4,Dropout
1,12,6,12,0,1,0,0,0,24,6,3,6,3,6,3,6,3,Dropout
1,1,12,1,1,0,1,0,0,19,7,6,7,7,7,6,7,7,Enrolled
1,7,2,1,1,0,1,0,0,24,17,11,13,9,17,11,13,9,Enrolled
1,1,9,1,1,0,1,0,1,20,5,5,5,5,5,5,5,5,Graduate
1,12,9,1,0,0,0,0,0,25,5,0,5,0,5,0,5,0,Dropout
1,1,9,1,0,0,1,0,1,20,10,9,10,10,10,9,10,10,Graduate
1,4,12,3,0,0,1,0,0,23,8,8,8,8,8,8,8,8,Graduate
1,8,12,1,1,0,1,0,1,19,8,7,8,7,8,7,8,7,Graduate
1,15,4,14,0,1,0,0,0,29,6,3,6,3,6,3,6,3,Dropout
1,1,11,1,1,0,1,0,0,21,6,6,6,4,6,6,6,4,Graduate
1,1,14,1,1,0,1,0,1,18,6,6,6,5,6,6,6,5,Graduate
1,1,5,1,1,0,1,0,0,19,6,5,6,5,6,5,6,5,Enrolled
1,1,15,1,1,0,1,0,1,18,6,6,6,6,6,6,6,6,Dropout
1,1,6,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,1,15,1,1,0,1,0,0,18,6,1,6,0,6,1,6,0,Enrolled
1,8,9,1,0,0,1,0,0,18,5,5,5,5,5,5,5,5,Graduate
2,12,13,12,1,1,0,0,1,37,7,1,7,0,7,1,7,0,Dropout
1,8,17,15,0,0,1,0,0,29,5,5,5,5,5,5,5,5,Graduate
1,8,5,1,0,0,1,0,0,18,6,6,6,6,6,6,6,6,Enrolled
1,1,10,1,1,0,1,0,1,19,6,5,6,5,6,5,6,5,Graduate
1,14,10,1,1,1,0,0,0,22,10,6,7,2,10,6,7,2,Dropout
1,1,11,1,0,0,1,0,1,20,6,6,6,5,6,6,6,5,Graduate
1,12,3,1,0,0,1,0,0,34,6,0,6,0,6,0,6,0,Dropout
1,14,7,1,0,1,0,0,0,30,12,8,12,6,12,8,12,6,Dropout
1,1,10,1,0,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,1,10,1,0,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,1,15,1,1,0,1,0,0,18,6,4,6,3,6,4,6,3,Graduate
1,8,12,1,1,0,1,0,0,18,8,7,8,7,8,7,8,7,Graduate
1,1,15,1,1,0,1,0,1,19,6,5,6,5,6,5,6,5,Graduate
1,1,5,1,1,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,0,0,1,0,1,18,8,7,8,7,8,7,8,7,Graduate
1,15,4,14,0,0,1,0,1,21,6,6,6,5,6,6,6,5,Graduate
1,1,9,1,1,0,0,0,0,20,5,2,5,1,5,2,5,1,Dropout
1,8,9,1,1,0,1,0,0,20,5,5,5,5,5,5,5,5,Graduate
1,1,12,1,0,0,1,0,0,19,7,7,8,8,7,7,8,8,Graduate
1,1,10,1,0,0,1,0,0,20,6,6,6,6,6,6,6,6,Graduate
1,8,12,1,1,0,1,0,0,18,7,7,8,8,7,7,8,8,Graduate
1,13,16,1,0,0,1,0,0,20,6,5,6,3,6,5,6,3,Dropout
2,4,8,3,0,1,0,0,0,29,9,7,7,5,9,7,7,5,Dropout
1,1,12,1,0,0,1,0,1,18,7,7,8,8,7,7,8,8,Enrolled
1,1,12,1,1,0,1,0,1,20,7,7,8,7,7,7,8,7,Graduate
1,7,9,1,1,0,1,0,1,22,5,4,5,4,5,4,5,4,Graduate
4,1,3,1,1,0,1,0,1,47,6,5,6,6,6,5,6,6,Graduate
2,16,17,1,0,0,1,0,0,31,5,5,5,5,5,5,5,5,Graduate
1,1,5,1,0,0,1,0,1,21,6,5,6,6,6,5,6,6,Graduate
1,1,3,1,0,0,1,0,0,21,6,5,6,6,6,5,6,6,Graduate
2,12,15,9,0,0,1,0,0,24,6,6,6,6,6,6,6,6,Graduate
1,8,5,1,0,0,1,0,0,18,6,6,6,6,6,6,6,6,Enrolled
1,12,3,11,0,0,1,0,0,32,6,4,6,4,6,4,6,4,Graduate
1,9,3,1,1,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,12,12,1,1,0,1,0,0,24,8,8,8,8,8,8,8,8,Graduate
1,8,6,1,1,0,1,0,0,19,6,6,6,6,6,6,6,6,Graduate
1,15,4,14,0,1,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,15,4,14,0,0,1,0,0,24,6,6,6,5,6,6,6,5,Enrolled
1,8,10,1,1,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,5,1,1,0,1,0,1,19,6,5,6,2,6,5,6,2,Dropout
2,1,12,1,0,0,1,0,1,19,8,7,8,7,8,7,8,7,Graduate
1,8,15,1,1,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,1,10,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,8,13,1,1,0,1,0,0,20,7,7,8,8,7,7,8,8,Graduate
1,1,12,1,0,0,1,0,0,18,8,8,8,8,8,8,8,8,Graduate
1,8,14,1,1,0,1,0,0,18,6,6,6,6,6,6,6,6,Graduate
1,1,6,1,1,0,1,0,1,21,5,4,5,5,5,4,5,5,Graduate
1,1,12,1,0,0,1,0,1,18,7,7,8,8,7,7,8,8,Graduate
1,16,14,1,0,1,0,0,0,18,5,2,5,4,5,2,5,4,Dropout
1,8,10,1,1,0,1,0,0,19,6,0,6,0,6,0,6,0,Dropout
1,1,14,1,1,0,1,0,0,19,6,4,6,4,6,4,6,4,Enrolled
1,8,14,1,1,0,1,0,0,18,6,6,6,4,6,6,6,4,Graduate
1,12,8,3,1,0,1,0,0,34,5,1,5,0,5,1,5,0,Dropout
1,1,6,1,0,0,1,0,0,19,5,5,5,5,5,5,5,5,Graduate
1,15,8,14,1,1,0,0,0,19,6,5,6,2,6,5,6,2,Dropout
1,16,10,1,0,1,1,0,0,26,6,6,6,6,6,6,6,6,Graduate
1,8,16,1,1,0,1,0,0,21,6,3,6,3,6,3,6,3,Dropout
1,8,9,1,0,0,1,0,1,18,5,5,5,5,5,5,5,5,Graduate
1,8,16,1,1,0,1,0,1,20,6,5,6,5,6,5,6,5,Graduate
1,16,9,1,0,0,1,0,0,25,5,2,5,0,5,2,5,0,Dropout
1,1,9,1,0,0,1,0,0,18,5,5,5,5,5,5,5,5,Graduate
1,1,12,1,1,0,1,0,1,18,7,7,8,8,7,7,8,8,Graduate
1,1,12,1,0,0,1,0,0,19,7,7,8,8,7,7,8,8,Graduate
1,1,10,1,0,0,1,0,1,18,6,6,6,6,6,6,6,6,Graduate
1,8,12,1,0,0,1,0,0,20,7,6,8,6,7,6,8,6,Enrolled
1,4,6,15,0,1,0,0,0,26,3,0,6,0,3,0,6,0,Dropout
1,13,12,1,1,0,1,0,1,19,8,7,8,7,8,7,8,7,Graduate
1,1,12,1,0,0,1,0,0,19,7,7,8,8,7,7,8,8,Graduate
1,14,9,1,0,0,1,0,0,19,10,5,10,8,10,5,10,8,Graduate
1,3,6,1,1,0,1,0,0,19,5,3,5,3,5,3,5,3,Enrolled
1,1,11,1,1,0,1,0,0,18,6,6,6,3,6,6,6,3,Graduate
1,14,12,6,1,0,1,0,0,19,7,6,7,6,7,6,7,6,Graduate
1,1,10,1,0,1,1,0,0,18,6,6,6,5,6,6,6,5,Graduate
1,1,16,1,1,0,1,0,0,18,6,5,6,5,6,5,6,5,Enrolled
1,1,6,1,1,0,1,0,0,18,5,5,5,5,5,5,5,5,Enrolled
1,1,16,1,1,0,1,0,0,18,7,5,7,6,7,5,7,6,Enrolled
